channel,watch_time_minutes,stream_time_minutes,peak_viewers,average_viewers,followers,followers_gained,views_gained,partnered,mature,language,watch_time_hours,stream_time_hours,followers_per_hour,views_per_follower,engagement_rate
alanzoka,2055003870,103770,89153,19560,3445134,1325075,46515698,True,False,Portuguese,34250064.5,1729.5,766.1607400982944,35.10420013961474,0.005677573063921461
CohhCarnage,2029212570,175230,43615,11343,1264808,124242,38718674,True,False,English,33820209.5,2920.5,42.54134565998973,311.6391719386359,0.008968159594183464
Lord_Kebun,1943299035,153720,34830,12367,434200,137215,19645967,True,False,English,32388317.25,2562.0,53.55776736924278,143.1765258900266,0.028482266236757255
LCK_Korea,1916365860,47325,140557,39848,619382,255088,76225485,True,False,Korean,31939431.0,788.75,323.4079239302694,298.8203482719689,0.06433509530467466
Castro_1021,1845157080,100215,125133,17779,2411995,550678,22672980,True,False,English,30752618.0,1670.25,329.69794940877114,41.172845110935974,0.007371076639876948
DrDisrespect,1839882465,73065,97540,23794,4450718,825004,43919410,True,False,English,30664707.75,1217.75,677.482241839458,53.23539037386485,0.005346103707311944
TheRealKnossi,1811696100,56010,288459,24595,1260160,1082039,25342894,True,True,German,30194935.0,933.5,1159.120514193894,23.421423811895874,0.019517362874555612
TheGrefg,1757406750,54855,538444,28887,3795667,3593081,47094362,True,False,Spanish,29290112.5,914.25,3930.0858627290127,13.10695806746355,0.007610520100946685
YoDa,1690237110,135675,123796,12868,1792625,383130,38499423,True,False,Portuguese,28170618.5,2261.25,169.43283582089552,100.48657896797431,0.007178299979080957
Pestily,1659741015,138300,168112,8481,616168,520342,24029726,True,False,English,27662350.25,2305.0,225.74490238611713,46.18063888750091,0.01376410329650355
한동숙 (handongsuk),1621667925,127815,44976,12869,385250,73602,30610352,True,False,Korean,27027798.75,2130.25,34.550874310526936,415.89022037444636,0.033404282933160286
GamesDoneQuick,1619144100,87450,234826,6734,1724316,113469,43345080,True,False,English,26985735.0,1457.5,77.85180102915952,381.99931258757897,0.0039053166588954693
Solary,1546597380,486510,24470,3187,493207,143569,48799554,True,False,French,25776623.0,8108.5,17.705987543935375,339.90314065014036,0.006461789877272626
